# name	lambda_eff	filter_id	j
FUV	0.152		123		1
NUV	0.231		124		1
U	0.346		254		1
B	0.460		164		1
V	0.538		165		1
G	0.570		142		1
R	0.652		166		0
I	0.866		167		1
IC	0.740		257		1
Z	0.900		168		1
J	1.200		235		1
K	2.2		279		1
IRAC1	3.56		153		1
IRAC2	4.51		154		1
IRAC3	5.76		155		1
IRAC4	8.00		156		1
MIPS24	24.		157		1
MIPS70	70.		158		1
PACS100	100.		170		1
PACS160	160.		171		1
SPIRE250 250.		172		1
SPIRE350 350.		173		1
S2-450   450.		369		1
SPIRE500 500.		174		1
S2-850   850.		370		1
AZTEC11	 1100.		350		1
MAMBO12	 1200.		239		1
